# Generated Historical Prices (30 days) - ALL STOCKS

# HDFCBANK.NS
[{'date': '2025-12-09', 'close': 899.14}, {'date': '2025-12-10', 'close': 907.23}, {'date': '2025-12-11', 'close': 921.93}, {'date': '2025-12-12', 'close': 904.36}, {'date': '2025-12-13', 'close': 912.01}, {'date': '2025-12-14', 'close': 919.05}, {'date': '2025-12-15', 'close': 906.54}, {'date': '2025-12-16', 'close': 886.55}, {'date': '2025-12-17', 'close': 886.95}, {'date': '2025-12-18', 'close': 873.87}, {'date': '2025-12-19', 'close': 855.76}, {'date': '2025-12-20', 'close': 872.03}, {'date': '2025-12-21', 'close': 895.44}, {'date': '2025-12-22', 'close': 916.4}, {'date': '2025-12-23', 'close': 899.45}, {'date': '2025-12-24', 'close': 884.71}, {'date': '2025-12-25', 'close': 871.75}, {'date': '2025-12-26', 'close': 893.33}, {'date': '2025-12-27', 'close': 892.28}, {'date': '2025-12-28', 'close': 890.25}, {'date': '2025-12-29', 'close': 882.03}, {'date': '2025-12-30', 'close': 864.02}, {'date': '2025-12-31', 'close': 879.51}, {'date': '2026-01-01', 'close': 894.38}, {'date': '2026-01-02', 'close': 877.99}, {'date': '2026-01-03', 'close': 870.4}, {'date': '2026-01-04', 'close': 858.38}, {'date': '2026-01-05', 'close': 855.88}, {'date': '2026-01-06', 'close': 854.85}, {'date': '2026-01-07', 'close': 948.9}],

# ICICIBANK.NS
[{'date': '2025-12-09', 'close': 1315.85}, {'date': '2025-12-10', 'close': 1304.92}, {'date': '2025-12-11', 'close': 1312.34}, {'date': '2025-12-12', 'close': 1293.75}, {'date': '2025-12-13', 'close': 1319.83}, {'date': '2025-12-14', 'close': 1336.34}, {'date': '2025-12-15', 'close': 1330.78}, {'date': '2025-12-16', 'close': 1340.24}, {'date': '2025-12-17', 'close': 1337.22}, {'date': '2025-12-18', 'close': 1346.35}, {'date': '2025-12-19', 'close': 1343.78}, {'date': '2025-12-20', 'close': 1346.2}, {'date': '2025-12-21', 'close': 1346.56}, {'date': '2025-12-22', 'close': 1349.76}, {'date': '2025-12-23', 'close': 1328.15}, {'date': '2025-12-24', 'close': 1344.97}, {'date': '2025-12-25', 'close': 1340.32}, {'date': '2025-12-26', 'close': 1353.59}, {'date': '2025-12-27', 'close': 1331.1}, {'date': '2025-12-28', 'close': 1317.19}, {'date': '2025-12-29', 'close': 1347.21}, {'date': '2025-12-30', 'close': 1341.4}, {'date': '2025-12-31', 'close': 1355.58}, {'date': '2026-01-01', 'close': 1331.97}, {'date': '2026-01-02', 'close': 1352.51}, {'date': '2026-01-03', 'close': 1323.81}, {'date': '2026-01-04', 'close': 1356.52}, {'date': '2026-01-05', 'close': 1386.09}, {'date': '2026-01-06', 'close': 1375.57}, {'date': '2026-01-07', 'close': 1413.6}],

# SBIN.NS
[{'date': '2025-12-09', 'close': 961.95}, {'date': '2025-12-10', 'close': 947.8}, {'date': '2025-12-11', 'close': 964.47}, {'date': '2025-12-12', 'close': 960.83}, {'date': '2025-12-13', 'close': 941.36}, {'date': '2025-12-14', 'close': 950.39}, {'date': '2025-12-15', 'close': 962.92}, {'date': '2025-12-16', 'close': 942.23}, {'date': '2025-12-17', 'close': 932.35}, {'date': '2025-12-18', 'close': 916.07}, {'date': '2025-12-19', 'close': 930.58}, {'date': '2025-12-20', 'close': 910.95}, {'date': '2025-12-21', 'close': 898.77}, {'date': '2025-12-22', 'close': 911.26}, {'date': '2025-12-23', 'close': 904.52}, {'date': '2025-12-24', 'close': 900.96}, {'date': '2025-12-25', 'close': 896.29}, {'date': '2025-12-26', 'close': 899.4}, {'date': '2025-12-27', 'close': 920.97}, {'date': '2025-12-28', 'close': 933.23}, {'date': '2025-12-29', 'close': 914.45}, {'date': '2025-12-30', 'close': 930.75}, {'date': '2025-12-31', 'close': 935.88}, {'date': '2026-01-01', 'close': 916.78}, {'date': '2026-01-02', 'close': 939.33}, {'date': '2026-01-03', 'close': 952.15}, {'date': '2026-01-04', 'close': 947.91}, {'date': '2026-01-05', 'close': 969.1}, {'date': '2026-01-06', 'close': 980.52}, {'date': '2026-01-07', 'close': 1006.0}],

# TATASTEEL.NS
[{'date': '2025-12-09', 'close': 175.08}, {'date': '2025-12-10', 'close': 177.26}, {'date': '2025-12-11', 'close': 178.82}, {'date': '2025-12-12', 'close': 176.79}, {'date': '2025-12-13', 'close': 173.0}, {'date': '2025-12-14', 'close': 177.43}, {'date': '2025-12-15', 'close': 175.03}, {'date': '2025-12-16', 'close': 178.12}, {'date': '2025-12-17', 'close': 177.67}, {'date': '2025-12-18', 'close': 179.87}, {'date': '2025-12-19', 'close': 175.74}, {'date': '2025-12-20', 'close': 175.0}, {'date': '2025-12-21', 'close': 172.15}, {'date': '2025-12-22', 'close': 173.3}, {'date': '2025-12-23', 'close': 171.4}, {'date': '2025-12-24', 'close': 170.31}, {'date': '2025-12-25', 'close': 174.29}, {'date': '2025-12-26', 'close': 171.47}, {'date': '2025-12-27', 'close': 172.0}, {'date': '2025-12-28', 'close': 169.24}, {'date': '2025-12-29', 'close': 166.55}, {'date': '2025-12-30', 'close': 164.32}, {'date': '2025-12-31', 'close': 161.69}, {'date': '2026-01-01', 'close': 162.6}, {'date': '2026-01-02', 'close': 162.43}, {'date': '2026-01-03', 'close': 164.19}, {'date': '2026-01-04', 'close': 166.77}, {'date': '2026-01-05', 'close': 166.51}, {'date': '2026-01-06', 'close': 164.04}, {'date': '2026-01-07', 'close': 184.0}],

# BHARTIARTL.NS
